nombre,municipio,departamento,codigo_dane
"Fiestas de Cachipay","Cachipay","Cundinamarca","25123"
"Fiestas de Cajicá","Cajicá","Cundinamarca","25126"
"Fiestas de Caparrapí","Caparrapí","Cundinamarca","25148"
"Fiestas de Caqueza","Caqueza","Cundinamarca","25151"
"Fiestas de Carmen de Carupa","Carmen de Carupa","Cundinamarca","25154"
"Fiestas de Chaguaní","Chaguaní","Cundinamarca","25168"
"Fiestas de Chía","Chía","Cundinamarca","25175"
"Fiestas de Chipaque","Chipaque","Cundinamarca","25178"
"Fiestas de Choachí","Choachí","Cundinamarca","25181"
"Fiestas de Chocontá","Chocontá","Cundinamarca","25183"
"Fiestas de Cogua","Cogua","Cundinamarca","25200"
"Fiestas de Cota","Cota","Cundinamarca","25214"
"Fiestas de Cucunubá","Cucunubá","Cundinamarca","25224"
"Fiestas de El Colegio","El Colegio","Cundinamarca","25245"
"Fiestas de El Peñón","El Peñón","Cundinamarca","25258"
"Fiestas de El Rosal","El Rosal","Cundinamarca","25260"
"Fiestas de Facatativá","Facatativá","Cundinamarca","25269"
"Fiestas de Fomeque","Fomeque","Cundinamarca","25279"
"Fiestas de Fosca","Fosca","Cundinamarca","25281"
"Fiestas de Funza","Funza","Cundinamarca","25286"
"Fiestas de Fúquene","Fúquene","Cundinamarca","25288"
"Fiestas de Fusagasugá","Fusagasugá","Cundinamarca","25290"
"Fiestas de Gachala","Gachala","Cundinamarca","25293"
"Fiestas de Gachancipá","Gachancipá","Cundinamarca","25295"
"Fiestas de Gachetá","Gachetá","Cundinamarca","25297"
"Fiestas de Gama","Gama","Cundinamarca","25299"
"Fiestas de Bogotá","Girardot","Cundinamarca","25307"
"Fiestas de Granada","Granada","Cundinamarca","25312"
"Fiestas de Guachetá","Guachetá","Cundinamarca","25317"
"Fiestas de Guaduas","Guaduas","Cundinamarca","25320"
"Fiestas de Guasca","Guasca","Cundinamarca","25322"
"Fiestas de Guataquí","Guataquí","Cundinamarca","25324"
"Fiestas de Guatavita","Guatavita","Cundinamarca","25326"
"Fiestas de Guayabal de Siquima","Guayabal de Siquima","Cundinamarca","25328"
"Fiestas de Guayabetal","Guayabetal","Cundinamarca","25335"
"Fiestas de Gutiérrez","Gutiérrez","Cundinamarca","25339"
"Fiestas de Jerusalén","Jerusalén","Cundinamarca","25368"
"Fiestas de Junín","Junín","Cundinamarca","25372"
"Fiestas de La Calera","La Calera","Cundinamarca","25377"
"Fiestas de La Mesa","La Mesa","Cundinamarca","25386"
"Fiestas de La Palma","La Palma","Cundinamarca","25394"
"Fiestas de La Peña","La Peña","Cundinamarca","25398"
"Fiestas de La Vega","La Vega","Cundinamarca","25402"
"Fiestas de Lenguazaque","Lenguazaque","Cundinamarca","25407"
"Fiestas de Macheta","Macheta","Cundinamarca","25426"
"Fiestas de Madrid","Madrid","Cundinamarca","25430"
"Fiestas de Manta","Manta","Cundinamarca","25436"
"Fiestas de Medina","Medina","Cundinamarca","25438"
"Fiestas de Mosquera","Mosquera","Cundinamarca","25473"
"Fiestas de Nariño","Nariño","Cundinamarca","25483"
"Fiestas de Nemocón","Nemocón","Cundinamarca","25486"
"Fiestas de Nilo","Nilo","Cundinamarca","25488"
"Fiestas de Nimaima","Nimaima","Cundinamarca","25489"
"Fiestas de Nocaima","Nocaima","Cundinamarca","25491"
"Fiestas de Pacho","Pacho","Cundinamarca","25513"
"Fiestas de Paime","Paime","Cundinamarca","25518"
"Fiestas de Pandi","Pandi","Cundinamarca","25524"
"Fiestas de Paratebueno","Paratebueno","Cundinamarca","25530"
"Fiestas de Pasca","Pasca","Cundinamarca","25535"
"Fiestas de Puerto Salgar","Puerto Salgar","Cundinamarca","25572"
"Fiestas de Pulí","Pulí","Cundinamarca","25580"
"Fiestas de Quebradanegra","Quebradanegra","Cundinamarca","25592"
"Fiestas de Quetame","Quetame","Cundinamarca","25594"
"Fiestas de Quipile","Quipile","Cundinamarca","25596"
"Fiestas de Ricaurte","Ricaurte","Cundinamarca","25612"
"Fiestas de San Antonio del Tequendama","San Antonio del Tequendama","Cundinamarca","25645"
"Fiestas de San Bernardo","San Bernardo","Cundinamarca","25649"
"Fiestas de San Cayetano","San Cayetano","Cundinamarca","25653"
"Fiestas de San Francisco","San Francisco","Cundinamarca","25658"
"Fiestas de San Juan de Río Seco","San Juan de Río Seco","Cundinamarca","25662"
"Fiestas de Sasaima","Sasaima","Cundinamarca","25718"
"Fiestas de Sesquilé","Sesquilé","Cundinamarca","25736"
"Fiestas de Sibaté","Sibaté","Cundinamarca","25740"
"Fiestas de Silvania","Silvania","Cundinamarca","25743"
"Fiestas de Simijaca","Simijaca","Cundinamarca","25745"
"Fiestas de Soacha","Soacha","Cundinamarca","25754"
"Fiestas de Sopó","Sopó","Cundinamarca","25758"
"Fiestas de Subachoque","Subachoque","Cundinamarca","25769"
"Fiestas de Suesca","Suesca","Cundinamarca","25772"
"Fiestas de Supatá","Supatá","Cundinamarca","25777"
"Fiestas de Susa","Susa","Cundinamarca","25779"
"Fiestas de Sutatausa","Sutatausa","Cundinamarca","25781"
"Fiestas de Tabio","Tabio","Cundinamarca","25785"
"Fiestas de Tausa","Tausa","Cundinamarca","25793"
"Fiestas de Tena","Tena","Cundinamarca","25797"
"Fiestas de Tenjo","Tenjo","Cundinamarca","25799"
"Fiestas de Tibacuy","Tibacuy","Cundinamarca","25805"
"Fiestas de Tibirita","Tibirita","Cundinamarca","25807"
"Fiestas de Tocaima","Tocaima","Cundinamarca","25815"
"Fiestas de Tocancipá","Tocancipá","Cundinamarca","25817"
"Fiestas de Topaipí","Topaipí","Cundinamarca","25823"
"Fiestas de Ubalá","Ubalá","Cundinamarca","25839"
"Fiestas de Ubaque","Ubaque","Cundinamarca","25841"
"Fiestas de Une","Une","Cundinamarca","25845"
"Fiestas de Útica","Útica","Cundinamarca","25851"
"Fiestas de Venecia","Venecia","Cundinamarca","25506"
"Fiestas de Vergara","Vergara","Cundinamarca","25862"
"Fiestas de Vianí","Vianí","Cundinamarca","25867"
"Fiestas de Villa de San Diego de Ubate","Villa de San Diego de Ubate","Cundinamarca","25843"
"Fiestas de Villagómez","Villagómez","Cundinamarca","25871"
"Fiestas de Villapinzón","Villapinzón","Cundinamarca","25873"
"Fiestas de Villeta","Villeta","Cundinamarca","25875"
"Fiestas de Viotá","Viotá","Cundinamarca","25878"
"Fiestas de Yacopí","Yacopí","Cundinamarca","25885"
"Fiestas de Zipacón","Zipacón","Cundinamarca","25898"
"Fiestas de Zipaquirá","Zipaquirá","Cundinamarca","25899"
"Fiestas de Barranco Minas","Barranco Minas","Guainía","94343"
"Fiestas de Cacahual","Cacahual","Guainía","94886"
"Fiestas de Inirida","Inírida","Guainía","94001"
"Fiestas de La Guadalupe","La Guadalupe","Guainía","94885"
"Fiestas de Mapiripana","Mapiripana","Guainía","94663"
"Fiestas de Morichal","Morichal","Guainía","94888"
"Fiestas de Pana Pana","Pana Pana","Guainía","94887"
"Fiestas de Puerto Colombia","Puerto Colombia","Guainía","94884"
"Fiestas de San Felipe","San Felipe","Guainía","94883"
"Fiestas de Calamar","Calamar","Guaviare","95015"
"Fiestas de El Retorno","El Retorno","Guaviare","95025"
"Fiestas de Miraflores","Miraflores","Guaviare","95200"
"Fiestas de San Jose del Guaviare","San José del Guaviare","Guaviare","95001"
"Fiestas de Acevedo","Acevedo","Huila","41006"
"Fiestas de Agrado","Agrado","Huila","41013"
"Fiestas de Aipe","Aipe","Huila","41016"
"Fiestas de Algeciras","Algeciras","Huila","41020"
"Fiestas de Altamira","Altamira","Huila","41026"
"Fiestas de Baraya","Baraya","Huila","41078"
"Fiestas de Campoalegre","Campoalegre","Huila","41132"
"Fiestas de Colombia","Colombia","Huila","41206"
"Fiestas de Elías","Elías","Huila","41244"
"Fiestas de Garzón","Garzón","Huila","41298"
"Fiestas de Gigante","Gigante","Huila","41306"
"Fiestas de Guadalupe","Guadalupe","Huila","41319"
"Fiestas de Hobo","Hobo","Huila","41349"
"Fiestas de Iquira","Iquira","Huila","41357"
"Fiestas de Isnos","Isnos","Huila","41359"
"Fiestas de La Argentina","La Argentina","Huila","41378"
"Fiestas de La Plata","La Plata","Huila","41396"
"Fiestas de Nátaga","Nátaga","Huila","41483"
"Fiestas de Neiva","Neiva","Huila","41001"
"Fiestas de Oporapa","Oporapa","Huila","41503"
"Fiestas de Paicol","Paicol","Huila","41518"
"Fiestas de Palermo","Palermo","Huila","41524"
"Fiestas de Palestina","Palestina","Huila","41530"
"Fiestas de Pital","Pital","Huila","41548"
"Fiestas de Pitalito","Pitalito","Huila","41551"
"Fiestas de Rivera","Rivera","Huila","41615"
"Fiestas de Saladoblanco","Saladoblanco","Huila","41660"
"Fiestas de San Agustín","San Agustín","Huila","41668"
"Fiestas de Santa María","Santa María","Huila","41676"
"Fiestas de Suaza","Suaza","Huila","41770"
"Fiestas de Tarqui","Tarqui","Huila","41791"
"Fiestas de Tello","Tello","Huila","41799"
"Fiestas de Teruel","Teruel","Huila","41801"
"Fiestas de Tesalia","Tesalia","Huila","41797"
"Fiestas de Timaná","Timaná","Huila","41807"
"Fiestas de Villavieja","Villavieja","Huila","41872"
"Fiestas de Yaguará","Yaguará","Huila","41885"
"Fiestas de Albania","Albania","La Guajira","44035"
"Fiestas de Barrancas","Barrancas","La Guajira","44078"
"Fiestas de Dibulla","Dibulla","La Guajira","44090"
"Fiestas de Distracción","Distracción","La Guajira","44098"
"Fiestas de El Molino","El Molino","La Guajira","44110"
"Fiestas de Fonseca","Fonseca","La Guajira","44279"
"Fiestas de Hatonuevo","Hatonuevo","La Guajira","44378"
"Fiestas de La Jagua del Pilar","La Jagua del Pilar","La Guajira","44420"
"Fiestas de Maicao","Maicao","La Guajira","44430"
"Fiestas de Manaure","Manaure","La Guajira","44560"
"Fiestas de Riohacha","Riohacha","La Guajira","44001"
