codigo_dane,departamento,municipio,subregion,habitantes,temperatura_promedio,altura,gentilicio,bandera_url,alcalde,correo_alcalde
05034,Antioquia,Andes,,,,,,,GERMAN ALEXANDER VÉLEZ OROZCO,alcalde@andes-antioquia.gov.co
05036,Antioquia,Angelópolis,,,,,,,JOSÉ LUIS MONTOYA QUICENO,alcaldia@angelopolis-antioquia.gov.co
05038,Antioquia,Angostura,,,,,,,VÍCTOR IGNACIO MEDINA GÓMEZ,alcaldia@angostura-antioquia.gov.co
05040,Antioquia,Anorí,,,,,,,GUSTAVO ALFREDO SILVA GUTIÉRREZ,alcaldia@anori-antioquia.gov.co
05042,Antioquia,Antioquia (Santa Fe),,,,,,,,
05044,Antioquia,Anza,,,,,,,JUAN GUILLERMO HINCAPIÉ FIGUEROA,alcaldia@anza-antioquia.gov.co
05045,Antioquia,Apartadó,,,,,,,HÉCTOR RANGEL PALACIOS RODRÍGUEZ,general@apartado.gov.co
05051,Antioquia,Arboletes,,,,,,,ÁLVARO GONZÁLEZ ÁVILA,alcaldia@arboletes-antioquia.gov.co
05055,Antioquia,Argelia,,,,,,,DIEGO ALEXANDER LÓPEZ GIRALDO,alcaldia@argelia-antioquia.gov.co
05059,Antioquia,Armenia,,,,,,,MARTHA LIBIA PARRA GIL,alcaldia@armenia-antioquia.gov.co
05079,Antioquia,Barbosa,,,,,,,JUAN DAVID ROJAS AGUDELO,alcaldia@barbosa.gov.co
05086,Antioquia,Belmira,,,,,,,DARCY ESTEBAN ARBOLEDA RUA,alcaldia@belmira-antioquia.gov.co
05088,Antioquia,Bello,,,,,,,YULIETH LORENA GONZÁLEZ OSPINA,contactenos@bello.gov.co
05091,Antioquia,Betania,,,,,,,DIEGO ARLEY DE JESÚS GUERRA GUTIÉRREZ,alcaldia@betania-antioquia.gov.co
05093,Antioquia,Betulia,,,,,,,NÉSTOR CAMILO SERNA HERNÁNDEZ,gobierno@betulia-antioquia.gov.co
05107,Antioquia,Briceño,,,,,,,NOE DE JESÚS ESPINOSA VÁSQUEZ,alcaldia@briceno-antioquia.gov.co
05113,Antioquia,Buriticá,,,,,,,JOSÉ LUIS RODRÍGUEZ ÚSUGA,alcaldia@buritica-antioquia.gov.co
05120,Antioquia,Cáceres,,,,,,,DAMIANA MARÍA MONTERROSA PÉREZ,gobierno@caceres-antioquia.gov.co
05125,Antioquia,Caicedo,,,,,,,YUBER FELIPE MOLINA MURILLO,alcaldia@caicedo-antioquia.gov.co
05129,Antioquia,Caldas,,,,,,,JORGE MARIO RENDON VÉLEZ,contactenos@caldasantioquia.gov.co
05134,Antioquia,Campamento,,,,,,,CRISTIAN ANDRÉS AGUDELO POSADA,alcaldia@campamento-antioquia.gov.co
05138,Antioquia,Cañasgordas,,,,,,,DIEGO ALONSO VANEGAS ARANGO,alcaldia@canasgordas-antioquia.gov.co
05147,Antioquia,Carepa,,,,,,,AGAPITO MURILLO PALACIOS,alcaldia@carepa-antioquia.gov.co
05142,Antioquia,Carolina del Príncipe,,,,,,,,
05154,Antioquia,Caucasia,,,,,,,JHOAN ODERIS MONTES CORTES,alcaldia@caucasia-antioquia.gov.co
05172,Antioquia,Chigorodó,,,,,,,TULIA IRENE RUIZ GARCÍA,alcaldia@chigorodo-antioquia.gov.co
05190,Antioquia,Cisneros,,,,,,,LINA MARÍA CORREA VALENCIA,alcaldia@cisneros-antioquia.gov.co
05197,Antioquia,Cocorná,,,,,,,DAVID ALEJANDRO GÓMEZ HOYOS,alcaldia@cocorna-antioquia.gov.co
05206,Antioquia,Concepción,,,,,,,ADRIÁN HENAO CARVAJAL,alcaldia@concepcion-antioquia.gov.co
05234,Antioquia,Dabeiba,,,,,,,DANIEL HIGUITA HERRERA,alcaldia@dabeiba-antioquia.gov.co
05250,Antioquia,El Bagre,,,,,,,MARCO FIDEL TRESPALACIO BULLOSO,alcaldia@elbagre-antioquia.gov.co
05148,Antioquia,El Carmen de Viboral,,,,,,,HUGO ALFONSO JIMÉNEZ CUERVO,alcaldia@elcarmendeviboral-antioquia.gov.co
05697,Antioquia,El Santuario,,,,,,,MARTIN ALBERTO DUQUE GALLO,contactenos@elsantuario-antioquia.gov.co
05264,Antioquia,Entrerrios,,,,,,,JULIO CESAR LOPERA POSADA,alcaldia@entrerrios-antioquia.gov.co
05266,Antioquia,Envigado,,,,,,,RAÚL EDUARDO CARDONA GONZÁLEZ,alcaldia@envigado.gov.co
54003,Norte De Santander,Abrego,,,,,,,HUBER DARÍO SÁNCHEZ ORTEGA,contactenos@abrego-nortedesantander.gov.co
54051,Norte De Santander,Arboledas,,,,,,,ÁLVARO REINALDO CARRILLO BOHADA,alcaldia@arboledas-nortedesantander.gov.co
54099,Norte De Santander,Bochalema,,,,,,,RAFAEL EUSEBIO ORTIZ MORA,alcaldia@bochalema-nortedesantander.gov.co
54109,Norte De Santander,Bucarasica,,,,,,,OSCAR ANDRÉS PÉREZ GONZÁLEZ,contactenos@bucarasica-nortedesantander.gov.co
54125,Norte De Santander,Cácota,,,,,,,JESUS EDUARDO ARAQUE JAIMES,alcaldia@cacota-nortedesantander.gov.co
54128,Norte De Santander,Cachirá,,,,,,,HERMAN FERNANDO JAIME MORA,contactenos@cachira-nortedesantander.gov.co
54172,Norte De Santander,Chinácota,,,,,,,JOSÉ RAMIRO LUNA CONDE,contactenos@chinacota-nortedesantander.gov.co
54174,Norte De Santander,Chitagá,,,,,,,YORMAN SUAREZ HORMAZA,alcaldia@chitaga-nortedesantander.gov.co
54206,Norte De Santander,Convención,,,,,,,ALEXANDER BOTELLO LÓPEZ,contactenos@convencion-nortedesantander.gov.co
54223,Norte De Santander,Cucutilla,,,,,,,RODRIGO HERNANDO PARADA PAEZ,contactenos@cucutilla-nortedesantander.gov.co
54239,Norte De Santander,Durania,,,,,,,MARLYN YOHANA MÁRQUEZ RIVERA,alcaldia@durania-nortedesantander.gov.co
54245,Norte De Santander,El Carmen,,,,,,,JOSÉ REINEL CONTRERAS YARURO,alcaldia@elcarmen-nortedesantander.gov.co
54250,Norte De Santander,El Tarra,,,,,,,EYDER ROBLES ORTIZ,contactenos@eltarra-nortedesantander.gov.co
54261,Norte De Santander,El Zulia,,,,,,,ELKIN CABALLERO RAMÍREZ,alcaldia@elzulia-nortedesantander.gov.co
54313,Norte De Santander,Gramalote,,,,,,,ÁLVARO CARDOZO RIAÑO,contactenos@gramalote-nortedesantander.gov.co
54344,Norte De Santander,Hacarí,,,,,,,ROBEIRO MUÑOZ PÉREZ,alcaldia@hacari-nortedesantander.gov.co
54347,Norte De Santander,Herrán,,,,,,,SALVADOR AVELLANEDA ESCOBAR,contacto@herran-nortedesantander.gov.co
54377,Norte De Santander,Labateca,,,,,,,URIEL DARÍO CAPACHO VERA,contactenos@labateca-nortedesantander.gov.co
54385,Norte De Santander,La Esperanza,,,,,,,SAID LEÓN HIGUERA,alcaldia@laesperanza-nortedesantander.gov.co
54398,Norte de Santander,La Playa de Belén,,,,,,,,
54405,Norte De Santander,Los Patios,,,,,,,ALEXI ALLENDE VALENCIA LIZCANO,alcaldia@lospatios-nortedesantander.gov.co
54418,Norte De Santander,Lourdes,,,,,,,ANDRÉS CAMILO PEDRAZA GÓMEZ,alcaldia@lourdes-nortedesantander.gov.co
54480,Norte De Santander,Mutiscua,,,,,,,ANA DOLOREZ SOLANO MANTILLA,alcaldia@mutiscua-nortedesantander.gov.co
54498,Norte De Santander,Ocaña,,,,,,,EMIRO CAÑIZARES PLATA,contactenos@ocana-nortedesantander.gov.co
54518,Norte De Santander,Pamplona,,,,,,,KLAUS FABER MOGOLLON,alcaldia@pamplona-nortedesantander.gov.co
54520,Norte De Santander,Pamplonita,,,,,,,FABIO ENRIQUE LEAL CRUZ,contactenos@pamplonita-nortedesantander.gov.co
54553,Norte De Santander,Puerto Santander,,,,,,,CARMEN TERESA GÓMEZ CACERES,alcaldia@puertosantander-nortedesantander.gov.co
54599,Norte De Santander,Ragonvalia,,,,,,,CARMEN ALICIA CHONA BAUTISTA,alcaldia@ragonvalia-nortedesantander.gov.co
54660,Norte De Santander,Salazar,,,,,,,JUAN CARLOS BAIBOR ROJAS,alcaldia@salazardelaspalmas-nortedesantander.gov.co
54670,Norte De Santander,San Calixto,,,,,,,JOSÉ LUIS BALMACEDA PINZON,alcaldia@sancalixto-nortedesantander.gov.co
54673,Norte De Santander,San Cayetano,,,,,,,WILSON DE JESUS PÉREZ GUTIÉRREZ,alcaldia@sancayetano-nortedesantander.gov.co
54680,Norte De Santander,Santiago,,,,,,,DANIS CARLEWIS RAMÍREZ VILORIA,contactenos@santiago-nortedesantander.gov.co
54720,Norte De Santander,Sardinata,,,,,,,DIOMARA MONTAÑEZ PEÑARANDA,alcaldia@sardinata-nortedesantander.gov.co
54743,Norte De Santander,Silos,,,,,,,PEDRO ANTONIO VERA MANTILLA,alcaldia@santodomingodesilos-nortedesantander.gov.co
54800,Norte De Santander,Teorama,,,,,,,UBER SAID CONDE SERRANO,alcaldia@teorama-nortedesantander.gov.co
54810,Norte De Santander,Tibú,,,,,,,RICHAR JAVIER CLARO DURAN,contactenos@tibu-nortedesantander.gov.co
54820,Norte De Santander,Toledo,,,,,,,CARLOS JAVIER PRADA MOGOLLON,alcaldia@toledo-nortedesantander.gov.co
54871,Norte De Santander,Villa Caro,,,,,,,JESUS AMADO SEPULVEDA CELIS,alcaldia@villacaro-nortedesantander.gov.co
54874,Norte De Santander,Villa del Rosario,,,,,,,JUAN CAMILO SUAREZ SIERRA,alcaldia@villadelrosario-nortedesantander.gov.co
68013,Santander,Aguada,,,,,,,SEGUNDO HORACIO ARIZA PARRA,contactenos@aguada-santander.gov.co
68020,Santander,Albania,,,,,,,ANDRÉS JAVIER CARRILLO PINEDA,contactenos@albania-santander.gov.co
68051,Santander,Aratoca,,,,,,,ALEXANDER GALVIS RAMÍREZ,contactenos@aratoca-santander.gov.co
68077,Santander,Barbosa,,,,,,,MARCO ALIRIO CORTES TORRES,alcaldia@barbosa-santander.gov.co
68079,Santander,Barichara,,,,,,,MILTON EDILSON CHAPARRO JIMÉNEZ,alcaldia@barichara-santander.gov.co
68081,Santander,Barrancabermeja,,,,,,,JONATHAN STIVEL VÁSQUEZ GÓMEZ,contactenos@barrancabermeja.gov.co
68092,Santander,Betulia,,,,,,,HARLLEY DELGADO MARTÍNEZ,alcaldia@betulia-santander.gov.co
68101,Santander,Bolívar,,,,,,,RONIVER RAUL PÉREZ GALEANO,alcaldia@bolivar-santander.gov.co
68121,Santander,Cabrera,,,,,,,CARLOS ALBERTO BAUTISTA USEDA,alcaldia@cabrera-santander.gov.co
68132,Santander,California,,,,,,,DANILO VALBUENA PABON,contactenos@california-santander.gov.co
68147,Santander,Capitanejo,,,,,,,JAIME ANTONIO SEPULVEDA GUTIÉRREZ,alcaldia@capitanejo-santander.gov.co
68152,Santander,Carcasí,,,,,,,GERARDO HARVEY DURAN CACERES,contacto@carcasi-santander.gov.co
68160,Santander,Cepitá,,,,,,,PEDRO PABLO CARREÑO QUIÑONEZ,contactenos@cepita-santander.gov.co
68162,Santander,Cerrito,,,,,,,LUIS FELIPE RIVERA CARVAJAL,contactenos@cerrito-santander.gov.co
68167,Santander,Charalá,,,,,,,JORGE WILMAR VEGA ROJAS,alcaldia@charala-santander.gov.co
68169,Santander,Charta,,,,,,,ANDELFO PORTILLA TARAZONA,contactenos@charta-santander.gov.co
68176,Santander,Chima,,,,,,,OSCAR OCTAVIO CEDIEL VÁSQUEZ,alcaldia@chima-santander.gov.co
68179,Santander,Chipatá,,,,,,,JENNY PATRICIA MORA FRANCO,contactenos@chipata-santander.gov.co
68190,Santander,Cimitarra,,,,,,,LUIS HERNANDO SANTAMARIA ARIZA,contactenos@cimitarra-santander.gov.co
68207,Santander,Concepción,,,,,,,EDUAR ABRIL BORRERO,contactenos@concepcion-santander.gov.co
68209,Santander,Confines,,,,,,,JOSUE EFRAÍN GÓMEZ MEDINA,contactenos@confines-santander.gov.co
68211,Santander,Contratación,,,,,,,ORIOL PLATA HERNÁNDEZ,contactenos@contratacion-santander.gov.co
68217,Santander,Coromoro,,,,,,,RODOLFO SÁNCHEZ ÁLVAREZ,contactenos@coromoro-santander.gov.co
68229,Santander,Curití,,,,,,,CARLOS FERNANDO MÁRQUEZ RIBERO,contactenos@curiti-santander.gov.co
68235,Santander,El Carmen de Chucurí,,,,,,,WILLIAN TELLO SIERRA,contactenos@elcarmen-santander.gov.co
68245,Santander,El Guacamayo,,,,,,,FABIO NEL DIAZ CASTILLO,contactenos@elguacamayo-santander.gov.co
68250,Santander,El Peñón,,,,,,,FERNEY SANTAMARIA HERNÁNDEZ,despachoalcalde@elpenon-santander.gov.co
68255,Santander,El Playón,,,,,,,LUIS AMBROSIO ALARCON LÓPEZ,alcaldia@elplayon-santander.gov.co
68264,Santander,Encino,,,,,,,NOLBERTO DIAZ TOBAR,alcaldia@encino-santander.gov.co
68266,Santander,Enciso,,,,,,,ISRAEL SANDOVAL MANRIQUE,alcaldia@enciso-santander.gov.co
68271,Santander,Florián,,,,,,,NESTOR ORLANDO DELGADO PARDO,contactenos@florian-santander.gov.co
68276,Santander,Floridablanca,,,,,,,JOSÉ FERNANDO SÁNCHEZ CARVAJAL,alcalde@floridablanca.gov.co
68298,Santander,Gambita,,,,,,,LUIS EMIRO PEDRAZA SALAZAR,alcaldia@gambita-santander.gov.co
68307,Santander,Girón,,,,,,,CAMPO ELÍAS RAMÍREZ PADILLA,contactenos@giron-santander.gov.co
68318,Santander,Guaca,,,,,,,ANGEL FERNEY VILLAMIZAR VILLAMIZAR,contactenos@guaca-santander.gov.co
68322,Santander,Guapotá,,,,,,,EDISSON ARLEY CORTES VALLEJO,alcaldia@guapota-santander.gov.co
68324,Santander,Guavatá,,,,,,,JOSÉ JOAQUIN CUBIDES ARIZA,alcaldia@guavata-santander.gov.co
68327,Santander,Güepsa,,,,,,,HERNANDO FONTECHA AMADO,alcaldia@guepsa-santander.gov.co
68344,Santander,Hato,,,,,,,JAVIER MORALES SÁNCHEZ,contactenos@hato-santander.gov.co
68370,Santander,Jordán,,,,,,,JULIAN ALBERTO MUÑOZ RUIZ,contactenos@jordan-santander.gov.co
68377,Santander,La Belleza,,,,,,,YINETHA NARIOTH TELLEZ PÉREZ,alcaldia@labelleza-santander.gov.co
68385,Santander,Landázuri,,,,,,,CARLOS ANDRÉS MORALES QUIROGA,alcaldia@landazuri-santander.gov.co
68397,Santander,La Paz,,,,,,,CIELO CARYN DIAZ AMADO,contactenos@lapaz-santander.gov.co
68406,Santander,Lebríja,,,,,,,GABRIEL MARTÍNEZ CALDERÓN,alcaldia@lebrija-santander.gov.co
68418,Santander,Los Santos,,,,,,,DIEGO ARMANDO MENDOZA ARENAS,alcaldia@lossantos-santander.gov.co
68432,Santander,Málaga,,,,,,,RUBEN DARÍO MORENO MENDEZ,alcaldia@malaga-santander.gov.co
68444,Santander,Matanza,,,,,,,MONICA STELLA GONZÁLEZ HERNÁNDEZ,contactenos@matanza-santander.gov.co
68464,Santander,Mogotes,,,,,,,LEIDY JOHANA ALMEIDA BALCARCEL,contactenos@mogotes-santander.gov.co
68468,Santander,Molagavita,,,,,,,LUIS ARNULFO RAMÍREZ LÓPEZ,alcaldia@molagavita-santander.gov.co
25001,Cundinamarca,Agua de Dios,,,,,,,ELIANA ANDREA MANZANARES GÓNGORA,alcalde@aguadedios-cundinamarca.gov.co
25019,Cundinamarca,Albán,,,,,,,GERMAN ENRIQUE ESPITIA CRUZ,contactenos@alban-cundinamarca.gov.co
25035,Cundinamarca,Anapoima,,,,,,,CAMILO ANDRÉS FERRO CALDERÓN,contactenos@anapoima-cundinamarca.gov.co
25040,Cundinamarca,Anolaima,,,,,,,CARLOS ALEXYS GONZÁLEZ CHACÓN,contactenos@anolaima-cundinamarca.gov.co
25053,Cundinamarca,Arbeláez,,,,,,,HUGO EFRÉN NOVOA VILLAMIL,contactenos@arbelaez-cundinamarca.gov.co
25086,Cundinamarca,Beltrán,,,,,,,NURY BARRAGÁN SUAREZ,secretariadegobierno@beltran-cundinamarca.gov.co
25095,Cundinamarca,Bituima,,,,,,,WILLIAM GUILLERMO BARRERA RUIZ,alcaldia@bituima-cundinamarca.gov.co
25099,Cundinamarca,Bojacá,,,,,,,GABRIEL HERNÁN GONZÁLEZ ROJAS,alcaldia@bojaca-cundinamarca.gov.co
25120,Cundinamarca,Cabrera,,,,,,,ENYER CAMILO SÁNCHEZ PASTOR,alcaldia@cabrera-cundinamarca.gov.co
25123,Cundinamarca,Cachipay,,,,,,,LUIS ORLANDO GARZÓN ACUÑA,despacho.alcalde@cachipay-cundinamarca.gov.co
25126,Cundinamarca,Cajicá,,,,,,,FABIOLA JACOME RINCÓN,contactenos@cajica-cundinamarca.gov.co
25148,Cundinamarca,Caparrapí,,,,,,,ANDRÉS ARDILA SÁNCHEZ,alcaldia@caparrapi-cundinamarca.gov.co
25151,Cundinamarca,Caqueza,,,,,,,ALBA YOLIMA BENITO CLAVIJO,contactenos@caqueza-cundinamarca.gov.co
25154,Cundinamarca,Carmen de Carupa,,,,,,,HÉCTOR GONZALO PACHÓN ORTIZ,alcaldia@carmendecarupa-cundinamarca.gov.co
25168,Cundinamarca,Chaguaní,,,,,,,MARÍA ELENA LOZANO MARTÍNEZ,alcaldia@chaguani-cundinamarca.gov.co
25175,Cundinamarca,Chía,,,,,,,LEONARDO DONOSO RUIZ,alcalde@chia.gov.co
25178,Cundinamarca,Chipaque,,,,,,,DAISY JHOANA MORENO MORA,alcaldia@chipaque-cundinamarca.gov.co
25181,Cundinamarca,Choachí,,,,,,,ÁLVARO PULIDO RODRÍGUEZ,contactenos@choachi-cundinamarca.gov.co
25183,Cundinamarca,Chocontá,,,,,,,JAVIER GARZÓN FARFAN,contactenos@choconta-cundinamarca.gov.co
25200,Cundinamarca,Cogua,,,,,,,CRISTIAN CHÁVEZ SALAS,contactenos@cogua-cundinamarca.gov.co
25214,Cundinamarca,Cota,,,,,,,NÉSTOR ORLANDO BALSERO GARCÍA,contactenos@cota-cundinamarca.gov.co
25224,Cundinamarca,Cucunubá,,,,,,,MARIO ALEXANDER BELLO VELÁSQUEZ,alcaldia@cucunuba-cundinamarca.gov.co
25245,Cundinamarca,El Colegio,,,,,,,DIEGO ANDRÉS LÓPEZ SUAREZ,alcaldia@elcolegio-cundinamarca.gov.co
25258,Cundinamarca,El Peñón,,,,,,,NILSON JAVIER TRIANA BUITRAGO,alcaldia@elpenon-cundinamarca.gov.co
25260,Cundinamarca,El Rosal,,,,,,,JORGE MIKAN SALGADO,despacho@elrosal-cundinamarca.gov.co
25269,Cundinamarca,Facatativá,,,,,,,LUIS CARLOS CASAS ALVARADO,contactenos@facatativa-cundinamarca.gov.co
25279,Cundinamarca,Fomeque,,,,,,,EDUAR ESNEIDER ACOSTA VARGAS,contactenos@fomeque-cundinamarca.gov.co
25281,Cundinamarca,Fosca,,,,,,,MILTON ALBINO BARBOSA REY,contactenos@fosca-cundinamarca.gov.co
25286,Cundinamarca,Funza,,,,,,,JEIMMY SULGEY VILLAMIL BUITRAGO,contactenos@funza-cundinamarca.gov.co
25288,Cundinamarca,Fúquene,,,,,,,WALTER JEISON MORA CASTIBLANCO,alcaldia@fuquene-cundinamarca.gov.co
25290,Cundinamarca,Fusagasugá,,,,,,,WILLIAM GARCÍA FAYAD,atencionalciudadano@fusagasuga-cundinamarca.gov.co
25293,Cundinamarca,Gachala,,,,,,,PEDRO ANTONIO RODRÍGUEZ ROJAS,alcaldia@gachala-cundinamarca.gov.co
25295,Cundinamarca,Gachancipá,,,,,,,ALFONSO LÓPEZ SÁNCHEZ,contactenos@gachancipa-cundinamarca.gov.co
25297,Cundinamarca,Gachetá,,,,,,,DANIEL ORLANDO BELTRÁN BELTRÁN,contactenos@gacheta-cundinamarca.gov.co
25299,Cundinamarca,Gama,,,,,,,ERNESTO AVELINO RUIZ MARTÍNEZ,despacho@gama-cundinamarca.gov.co
25307,Cundinamarca,Girardot,,,,,,,SALOMON SAID ARIAS,contactenos@girardot-cundinamarca.gov.co
25312,Cundinamarca,Granada,,,,,,,SANDRA RUEDA ACOSTA,contactenos@granada-cundinamarca.gov.co
25317,Cundinamarca,Guachetá,,,,,,,PABLO ENRIQUE QUICAZAN BALLESTEROS,alcaldia@guacheta-cundinamarca.gov.co
25320,Cundinamarca,Guaduas,,,,,,,DIEGO ARIEL JIMÉNEZ,alcaldia@guaduas-cundinamarca.gov.co
25322,Cundinamarca,Guasca,,,,,,,WILFRIDO RAFAEL COTES PRADA,alcaldia@guasca-cundinamarca.gov.co
25324,Cundinamarca,Guataquí,,,,,,,ELVIN AUDIVER MOSQUERA PALACIOS,contactenos@guataqui-cundinamarca.gov.co
76020,Valle Del Cauca,Alcalá,,,,,,,JAVIER ANDRÉS HERRERA HURTADO,contactenos@alcala-valle.gov.co
76036,Valle Del Cauca,Andalucía,,,,,,,FERNANDO GIRON VANDERHUK,contactenos@andalucia-valle.gov.co
76041,Valle Del Cauca,Ansermanuevo,,,,,,,LUBIN RAMÍREZ PEÑA,contactenos@ansermanuevo-valle.gov.co
76054,Valle Del Cauca,Argelia,,,,,,,WILSON VANEGAS VILLA,alcaldia@argelia-valle.gov.co
76100,Valle Del Cauca,Bolívar,,,,,,,JULIAN MURIEL ANDRADE,alcaldia@bolivar-valle.gov.co
76109,Valle Del Cauca,Buenaventura,,,,,,,LIGIA DEL CARMEN CÓRDOBA MARTÍNEZ,alcalde@buenaventura.gov.co
76113,Valle Del Cauca,Bugalagrande,,,,,,,JORGE ELIECER ROJAS,contactenos@bugalagrande-valle.gov.co
76122,Valle Del Cauca,Caicedonia,,,,,,,LILIANA PATRICIA FERNANDEZ DUQUE,alcaldia@caicedonia-valle.gov.co
76126,Valle Del Cauca,Calima,,,,,,,ALEJANDRO ANTONIO CADAVID PINILLA,contactenos@calimaeldarien-valle.gov.co
76130,Valle Del Cauca,Candelaria,,,,,,,GESSICA VALLEJO VALENCIA,alcaldia@candelaria-valle.gov.co
76147,Valle Del Cauca,Cartago,,,,,,,JUAN DAVID PIEDRAHITA LÓPEZ,despacho@cartago.gov.co
76233,Valle Del Cauca,Dagua,,,,,,,KAROL VILLAREJO,contactenos@dagua-valle.gov.co
76243,Valle Del Cauca,El Águila,,,,,,,ANDRÉS FERNANDO HERRERA DUQUE,gobierno@elaguila-valle.gov.co
76246,Valle Del Cauca,El Cairo,,,,,,,ORLAIN SALAZAR RAMÍREZ,contactenos@elcairo-valle.gov.co
76248,Valle Del Cauca,El Cerrito,,,,,,,JOSÉ ARLES TOBON GIRON,alcaldia@elcerrito-valle.gov.co
76250,Valle Del Cauca,El Dovio,,,,,,,HECTOR ENRIQUE DE LA TORRE BENITEZ,contactenos@eldovio-valle.gov.co
76275,Valle Del Cauca,Florida,,,,,,,DIMAS ANTONIO MARTINEZ TORO,contactenos@florida-valle.gov.co
76306,Valle Del Cauca,Ginebra,,,,,,,JESÚS FERNANDO MARTINEZ CARDONA,contactenos@ginebra-valle.gov.co
76318,Valle Del Cauca,Guacarí,,,,,,,LEONOR ABADIA BENITEZ,alcaldia@guacari-valle.gov.co
76364,Valle Del Cauca,Jamundí,,,,,,,PAOLA ANDREA CASTILLO GUTIÉRREZ,despacho1@jamundi.gov.co
76377,Valle Del Cauca,La Cumbre,,,,,,,VÍCTOR ALFONSO COLLAZOS CIFUENTES,contactenos@lacumbre-valle.gov.co
76400,Valle Del Cauca,La Unión,,,,,,,GERMAN ALFONSO VILLAQUIRAN HURTADO,alcaldia@launion-valle.gov.co
76403,Valle Del Cauca,La Victoria,,,,,,,MARCO AURELIO CARDONA ORTIZ,alcaldia@lavictoria-valle.gov.co
76497,Valle Del Cauca,Obando,,,,,,,DIEGO ARMANDO ORTIZ BUITRAGO,alcaldia@obando-valle.gov.co
76520,Valle Del Cauca,Palmira,,,,,,,VÍCTOR MANUEL RAMOS VERGARA,ventanillaunica@palmira.gov.co
76563,Valle Del Cauca,Pradera,,,,,,,FRANCISCO JAVIER GUZMÁN FIGUEROA,contactenos@pradera-valle.gov.co
76606,Valle Del Cauca,Restrepo,,,,,,,LUIS EDILMER ORTEGA MENESES,contactenos@restrepo-valle.gov.co
76616,Valle Del Cauca,Riofrío,,,,,,,VIVIANA PATRICIA MENA ZAPATA,contactenos@riofrio-valle.gov.co
76622,Valle Del Cauca,Roldanillo,,,,,,,JAIME RIOS ÁLVAREZ,despachoalcalde@roldanillo-valle.gov.co
76670,Valle Del Cauca,San Pedro,,,,,,,DIEGO FERNANDO MENDOZA TASCON,alcaldia@sanpedro-valle.gov.co
76736,Valle Del Cauca,Sevilla,,,,,,,MANUEL FELIPE QUINTERO CEBALLOS,contactenos@sevilla-valle.gov.co
76823,Valle Del Cauca,Toro,,,,,,,JHON FREDY VALENCIA BEDOYA,alcaldia@toro-valle.gov.co
76828,Valle Del Cauca,Trujillo,,,,,,,JOSÉ LUIS DUQUE CASTAÑO,alcaldia@trujillo-valle.gov.co
76834,Valle Del Cauca,Tuluá,,,,,,,GUSTAVO ADOLFO VÉLEZ ROMÁN,alcalde@tulua.gov.co
