Codigo_id,departamento,municipio,Subregion,habitantes,temperatura_promedio,altura,festival,fecha,sitio_1,maps_1,sitio_2,maps_2,sitio_3,maps_3,hotel_1,wa_1,hotel_2,wa_2,hotel_3,wa_3
20001,Cesar,Valledupar,Norte,565.000,30,168,Vallenato,2026-04-29,Río Guatapurí,https://goo.gl/maps/ce1,Plaza Alfonso López,https://goo.gl/maps/ce2,Centro Histórico,https://goo.gl/maps/ce3,Hotel Sonesta,https://wa.me/57310031,Hotel Sicarare,https://wa.me/57310032,Hotel Vajamar,https://wa.me/57310033
27001,Chocó,Quibdó,Atrato,130.000,27,43,San Pacho,2026-09-20,Malecón Atrato,https://goo.gl/maps/ch1,Catedral,https://goo.gl/maps/ch2,Tutunendo,https://goo.gl/maps/ch3,Interpacífico,https://wa.me/57310034,Los Mesones,https://wa.me/57310035,San Francisco,https://wa.me/57310036
23001,Córdoba,Montería,Sinú,520.000,29,18,Ganadería,2026-06-15,Ronda Sinú,https://goo.gl/maps/co1,Pasaje Sol,https://goo.gl/maps/co2,Museo Zenú,https://goo.gl/maps/co3,GHL Montería,https://wa.me/57310037,Hotel Zeu,https://wa.me/57310038,Hotel Ayenda,https://wa.me/57310039
25307,Cundinamarca,Bogotá,Alto Magdalena,150.000,30,289,Reinado Turismo,2026-10-12,Isla del Sol,https://goo.gl/maps/cn1,Parque Olas,https://goo.gl/maps/cn2,Mirador Alto,https://goo.gl/maps/cn3,GHL Relax,https://wa.me/57310040,Hotel Peñalisa,https://wa.me/57310041,Hotel Republicano,https://wa.me/57310042
94001,Guainía,Inirida,Amazonía,35.000,27,95,Fest. Colonias,2026-11-20,Cerros Mavicure,https://goo.gl/maps/ga1,Laguna Brujas,https://goo.gl/maps/ga2,Remanso,https://goo.gl/maps/ga3,Hotel Toninas,https://wa.me/57310043,Hotel El Diamante,https://wa.me/57310044,Las Toninas,https://wa.me/57310045
95001,Guaviare,San Jose del Guaviare,Amazonía,70.000,26,175,Yurupary,2026-08-15,Puerta Orión,https://goo.gl/maps/gv1,Pozos Naturales,https://goo.gl/maps/gv2,Ciudad Piedra,https://goo.gl/maps/gv3,Hotel Yurupary,https://wa.me/57310046,Hotel Aeropuerto,https://wa.me/57310047,Posada Guaviare,https://wa.me/57310048
41001,Huila,Neiva,Subnorte,365.000,28,442,San Pedro,2026-06-20,Desierto Tatacoa,https://goo.gl/maps/hu1,Monumento Cacica,https://goo.gl/maps/hu2,Parque Santander,https://goo.gl/maps/hu3,GHL Neiva,https://wa.me/57310049,Club Campestre,https://wa.me/57310050,Neiva Plaza,https://wa.me/57310051
44001,La Guajira,Riohacha,Norte,200.000,30,5,Francisco Hombre,2026-03-15,Salinas Manaure,https://goo.gl/maps/gj1,Cabo Vela,https://goo.gl/maps/gj2,Flamencos,https://goo.gl/maps/gj3,Hotel Taroa,https://wa.me/57310052,Waya Guajira,https://wa.me/57310053,Casa Arena,https://wa.me/57310054
47001,Magdalena,Santa Marta,Norte,555.000,28,6,Fiesta Mar,2026-07-29,Parque Tayrona,https://goo.gl/maps/ma1,Ciudad Perdida,https://goo.gl/maps/ma2,Quinta San Pedro,https://goo.gl/maps/ma3,Hotel Irotama,https://wa.me/57310055,Hotel Marriott,https://wa.me/57310056,Casa Bahía,https://wa.me/57310057
50001,Meta,Villavicencio,Piedemonte,550.000,26,467,Torneo Joropo,2026-06-28,Parque Ocarros,https://goo.gl/maps/me1,Bioparque,https://goo.gl/maps/me2,Mina Upín,https://goo.gl/maps/me3,GHL Grand,https://wa.me/57310058,Del Llano,https://wa.me/57310059,Estelar Villavo,https://wa.me/57310060
52001,Nariño,Pasto,Centro,405.000,14,2.527,Negros y Blancos,2026-01-02,Laguna Cocha,https://goo.gl/maps/na1,Santuario Lajas,https://goo.gl/maps/na2,Volcán Galeras,https://goo.gl/maps/na3,Hotel Cuellar,https://wa.me/57310061,Hotel Loft,https://wa.me/57310062,Don Saul,https://wa.me/57310063
54001,Norte de Santander,Cucuta,Oriental,800.000,28,320,Feria Cúcuta,2026-07-15,Templo Histórico,https://goo.gl/maps/ns1,Malecón,https://goo.gl/maps/ns2,Catedral,https://goo.gl/maps/ns3,Casino Int.,https://wa.me/57310064,Hotel Hampton,https://wa.me/57310065,Hotel Arizona,https://wa.me/57310066
86001,Putumayo,Mocoa,Piedemonte,60.000,24,604,Carnaval Perdón,2026-02-15,Fin del Mundo,https://goo.gl/maps/pu1,Paway Reserva,https://goo.gl/maps/pu2,Parque Suruma,https://goo.gl/maps/pu3,Hotel Marandua,https://wa.me/57310067,Mocoa Samai,https://wa.me/57310068,Hostal Putumayo,https://wa.me/57310069
63001,Quindío,Armenia,Central,305.000,20,1.483,Fiesta Yipao,2026-10-10,Parque Café,https://goo.gl/maps/qu1,Valle Cocora,https://goo.gl/maps/qu2,Jardín Botánico,https://goo.gl/maps/qu3,Hotel Mocawa,https://wa.me/57310070,Las Camelias,https://wa.me/57310071,Allure Café,https://wa.me/57310072
66001,Risaralda,Pereira,Centro Occidente,480.000,21,1.411,Cosecha,2026-08-15,Termales Santa Rosa,https://goo.gl/maps/ri1,Ukumarí,https://goo.gl/maps/ri2,Viaducto,https://goo.gl/maps/ri3,Hotel Movich,https://wa.me/57310073,Hotel Sonesta,https://wa.me/57310074,Abadía Plaza,https://wa.me/57310075
88001,San Andrés y Providencia,San Andrés,Insular,80.000,28,2,Luna Verde,2026-09-10,Hoyo Soplador,https://goo.gl/maps/sa1,Johnny Cay,https://goo.gl/maps/sa2,Cueva Morgan,https://goo.gl/maps/sa3,Decameron,https://wa.me/57310076,GHL Sunrise,https://wa.me/57310077,Casa Harb,https://wa.me/57310078
68001,Santander,Bucaramanga,Metropolitana,615.000,23,959,Feria Bonita,2026-09-08,Chicamocha,https://goo.gl/maps/st1,Santuario,https://goo.gl/maps/st2,Parque Agua,https://goo.gl/maps/st3,Dann Carlton,https://wa.me/57310079,Holiday Inn,https://wa.me/57310080,Chicamocha,https://wa.me/57310081
70001,Sucre,Sincelejo,Sabanas,310.000,28,213,20 de enero,2026-01-20,Plaza Majagual,https://goo.gl/maps/su1,Colosó,https://goo.gl/maps/su2,Caimanera,https://goo.gl/maps/su3,Hotel Marsella,https://wa.me/57310082,Hotel Santorini,https://wa.me/57310083,Archipiélago,https://wa.me/57310084
73001,Tolima,Ibagué,Ibagué,550.000,22,1.285,Folclórico,2026-06-24,Cañón Combeima,https://goo.gl/maps/to1,Jardín Botánico,https://goo.gl/maps/to2,Museo Arte,https://goo.gl/maps/to3,Estelar,https://wa.me/57310085,Casa Morales,https://wa.me/57310086,Sonesta Ibagué,https://wa.me/57310087
76001,Valle del Cauca,Cali,Sur,2.200.000,25,1.018,Feria Cali,2026-12-25,Cristo Rey,https://goo.gl/maps/va1,San Antonio,https://goo.gl/maps/va2,La Tertulia,https://goo.gl/maps/va3,Dann Carlton,https://wa.me/57310088,Intercontinental,https://wa.me/57310089,Hotel Spiwak,https://wa.me/57310090
97001,Vaupés,Mitú,Amazonía,33.000,26,183,Yuruparí Oro,2026-10-15,Cerro Urania,https://goo.gl/maps/vp1,Jirijirimo,https://goo.gl/maps/vp2,Ceima,https://goo.gl/maps/vp3,Hotel Vaupés,https://wa.me/57310091,Hostal Mitú,https://wa.me/57310092,Posada Vaupés,https://wa.me/57310093
99001,Vichada,Puerto Carreno,Orinoquía,20.000,29,51,Torneo Corrio,2026-04-10,Cerro Bandera,https://goo.gl/maps/vi1,Río Orinoco,https://goo.gl/maps/vi2,Parque Tuparro,https://goo.gl/maps/vi3,Hotel Carreño,https://wa.me/57310094,Hotel Orinoco,https://wa.me/57310095,Mirador,https://wa.me/57310096
