codigo_dane,departamento,municipio,mandatario,correo,fuente
5579,Antioquia,Puerto Berrío,ROBINSON ALBERTO BAENA ZULUAGA,alcaldia@puertoberrio-antioquia.gov.co,Hoja 3
5585,Antioquia,Puerto Nare,JUAN CARLOS ACEVEDO ÁLZATE,contactenos@puertonare-antioquia.gov.co,Hoja 3
5591,Antioquia,Puerto Triunfo,FRANKLIN PORTILLO GÓMEZ,alcaldia@puertotriunfo-antioquia.gov.co,Hoja 3
5604,Antioquia,Remedios,ALBEIRO ARENAS MOLINA,contactenos@remedios-antioquia.gov.co,Hoja 3
5607,Antioquia,Retiro,SANTIAGO MONTOYA GIRALDO,alcaldia@elretiro-antioquia.gov.co,Hoja 3
5615,Antioquia,Rionegro,JORGE HUMBERTO RIVAS URREA,alcaldia@rionegro.gov.co,Hoja 3
5628,Antioquia,Sabanalarga,CESAR ALONSO CUADROS GEORGE,contactenos@sabanalarga-antioquia.gov.co,Hoja 3
5631,Antioquia,Sabaneta,ALDER JAMES CRUZ OCAMPO,alcaldia@sabaneta.gov.co,Hoja 3
5642,Antioquia,Salgar,VÍCTOR RAÚL MAYA CEBALLOS,alcaldia@salgar-antioquia.gov.co,Hoja 3
5647,Antioquia,San Andrés de Cuerquía,JOSÉ FERNANDO CHAVARRIA CHAVARRIA,alcaldia@sanandresdecuerquia-antioquia.gov.co,Hoja 3
5649,Antioquia,San Carlos,SANTIAGO DAZA ESPINOSA,alcaldia@sancarlos-antioquia.gov.co,Hoja 3
5652,Antioquia,San Francisco,ARTURO ALEXANDER ARIAS DUQUE,alcaldia@sanfrancisco-antioquia.gov.co,Hoja 3
5656,Antioquia,San Jerónimo,DONALDO FERNAN VIVARES GALLEGO,alcaldia@sanjeronimo-antioquia.gov.co,Hoja 3
5658,Antioquia,San José de La Montaña,JULIAN ANDRÉS GONZÁLEZ POSADA,contactenos@sanjosedelamontana-antioquia.gov.co,Hoja 3
5659,Antioquia,San Juan de Urabá,JULIA ESPERANZA MEDRANO COA,contactenos@sanjuandeuraba-antioquia.gov.co,Hoja 3
5660,Antioquia,San Luis,CESAR ABAD BUITRAGO ARIAS,alcaldia@sanluis-antioquia.gov.co,Hoja 3
5664,Antioquia,San Pedro de los milagros,,,
5665,Antioquia,San Pedro de Uraba,NEVER JACINTO CARVAJAL MIRANDA,alcaldia@sanpedrodeuraba-antioquia.gov.co,Hoja 3
5667,Antioquia,San Rafael,EDUIN ANICETO GIRALDO QUINTANA,alcaldia@sanrafael-antioquia.gov.co,Hoja 3
5670,Antioquia,San Roque,LUIS ALEJANDRO VILLEGAS CANO,contactenos@sanroque-antioquia.gov.co,Hoja 3
5674,Antioquia,San Vicente,NELSON DE JESÚS HENAO ZAPATA,alcaldia@sanvicente-antioquia.gov.co,Hoja 3
5679,Antioquia,Santa Bárbara,JORGE MARIO QUINTANA CAÑAVERAL,contactenos@santabarbara-antioquia.gov.co,Hoja 3
5686,Antioquia,Santa Rosa de Osos,LUIS BERNARDO MOLINA GRANDA,contacto@santarosadeosos.gov.co,Hoja 3
5690,Antioquia,Santo Domingo,FABIO IGNACIO MIRA VALENCIA,contactenos@santodomingo-antioquia.gov.co,Hoja 3
5697,Antioquia,El Santuario,MARTIN ALBERTO DUQUE GALLO,contactenos@elsantuario-antioquia.gov.co,Hoja 3
5736,Antioquia,Segovia,EDWIN ALEXANDER CASTAÑEDA VAHOS,alcaldia@segovia-antioquia.gov.co,Hoja 3
5756,Antioquia,Sonson,JUAN DIEGO ZULUAGA PULGARIN,alcalde@sonson-antioquia.gov.co,Hoja 3
5761,Antioquia,Sopetrán,TATIANA ALEXANDRA CARBALLO HOYOS,alcaldia@sopetran-antioquia.gov.co,Hoja 3
5789,Antioquia,Támesis,JUAN PABLO PÉREZ RAMÍREZ,alcaldia@tamesis-antioquia.gov.co,Hoja 3
5790,Antioquia,Tarazá,YOMER FABIAN ÁLVAREZ CORREA,contactenos@taraza-antioquia.gov.co,Hoja 3
5792,Antioquia,Tarso,HUGO ALEXANDER OCAMPO RIOS,gobierno@tarso-antioquia.gov.co,Hoja 3
5809,Antioquia,Titiribí,ALEX DAVID RESTREPO SALAZAR,alcaldia@titiribi-antioquia.gov.co,Hoja 3
5819,Antioquia,Toledo,JHONNY ALBERTO MARÍN MUÑETON,alcaldia@toledo-antioquia.gov.co,Hoja 3
5837,Antioquia,Turbo,ALEJANDRO ABUCHAR GONZÁLEZ,alcalde@turbo-antioquia.gov.co,Hoja 3
5842,Antioquia,Uramita,LEONARDO ÚSUGA CORREA,alcaldia@uramita-antioquia.gov.co,Hoja 3
5847,Antioquia,Urrao,NILSON JAVIER BARRERA HOLGUIN,alcalde@urrao-antioquia.gov.co,Hoja 3
5854,Antioquia,Valdivia,CARLOS DANOBER MOLINA BETANCUR,alcaldia@valdivia-antioquia.gov.co,Hoja 3
5856,Antioquia,Valparaíso,JOSÉ MARIO HERNÁNDEZ DEVIA,alcaldia@valparaiso-antioquia.gov.co,Hoja 3
5858,Antioquia,Vegachí,JOSÉ MARÍA OCHOA MUÑOZ,alcaldia@vegachi-antioquia.gov.co,Hoja 3
5861,Antioquia,Venecia,FERNEY DARÍO FERNANDEZ,alcaldia@venecia-antioquia.gov.co,Hoja 3
5873,Antioquia,Vigía del Fuerte,JHOSELIN LOZANO MENA,contactenos@vigiadelfuerte-antioquia.gov.co,Hoja 3
5885,Antioquia,Yalí,JHON JAIRO GIRALDO POSADA,alcaldia@yali-antioquia.gov.co,Hoja 3
5887,Antioquia,Yarumal,CRISTIAN DAVID CESPEDES CORREA,alcaldia@yarumal.gov.co,Hoja 3
5890,Antioquia,Yolombó,JESÚS AMADOR PÉREZ PALACIO,gobierno@yolombo-antioquia.gov.co,Hoja 3
5893,Antioquia,Yondó,YERSON ANTONIO ARIZA RIVERA,alcaldia@yondo-antioquia.gov.co,Hoja 3
5895,Antioquia,Zaragoza,ANDRÉS EMILIO LUJAN MONROY,contactenos@zaragoza-antioquia.gov.co,Hoja 3
8001,Atlántico,Barranquilla,ALEJANDRO CHAR CHALJUB,alcalde@alcaldiabarranquilla.gov.co,Hoja 3
8078,Atlántico,Baranoa,EDINSON JOSÉ PALMA JIMÉNEZ,contactenos@baranoa-atlantico.gov.co,Hoja 3
8137,Atlántico,Campo de La Cruz,VANESSA ELVIA TORRES GUETTE,contactenos@campodelacruz-atlantico.gov.co,Hoja 3
8141,Atlántico,Candelaria,HAYDER ALEXANDER OROZCO SOLANO,contactenos@candelaria-atlantico.gov.co,Hoja 3
8296,Atlántico,Galapa,FABIAN ALBERTO BONETT BERDUGO,contactenos@galapa-atlantico.gov.co,Hoja 3
8372,Atlántico,Juan de Acosta,CARLOS FIDEL HIGGINS MOLINA,alcaldia@juandeacosta-atlantico.gov.co,Hoja 3
8421,Atlántico,Luruaco,AMETH JUAN HANNA,ventanillaunica@luruaco-atlantico.gov.co,Hoja 3
8433,Atlántico,Malambo,YENIS OROZCO BONETT,contactenos@malambo-atlantico.gov.co,Hoja 3
8436,Atlántico,Manatí,YENERYS MARÍA ACUÑA CERVANTES,contactenos@manati-atlantico.gov.co,Hoja 3
8520,Atlántico,Palmar de Varela,JOSÉ JUNIOR RUA FONTALVO,contactenos@palmardevarela-atlantico.gov.co,Hoja 3
8549,Atlántico,Piojó,FERNANDO RAFAEL TEJERA GONZALEZ,contactenos@piojo-atlantico.gov.co,Hoja 3
8558,Atlántico,Polonuevo,OSCAR JAVIER AVILEZ OLIVA,contactenos@polonuevo-atlantico.gov.co,Hoja 3
8560,Atlántico,Ponedera,ARISTARCO ROMERO MERIÑO,alcaldia@ponedera-atlantico.gov.co,Hoja 3
8573,Atlántico,Puerto Colombia,PLINIO EDGAR CEDEÑO GÓMEZ,contactenos@puertocolombia-atlantico.gov.co,Hoja 3
8606,Atlántico,Repelón,JORGE ELIECER REALES MARTINEZ,contactenos@repelon-atlantico.gov.co,Hoja 3
8634,Atlántico,Sabanagrande,DARWIN ALEXANDER ROSALES MORA,alcaldia@sabanagrande-atlantico.gov.co,Hoja 3
8638,Atlántico,Sabanalarga,JOSÉ ELÍAS CHAMS CHAMS,contactenos@sabanalarga-atlantico.gov.co,Hoja 3
8675,Atlántico,Santa Lucía,EDWARD ECKER MARTINEZ,despacho@santalucia-atlantico.gov.co,Hoja 3
8685,Atlántico,Santo Tomás,PAULA HUN BADILLO,alcaldia@santotomas-atlantico.gov.co,Hoja 3
8758,Atlántico,Soledad,ALCIRA PAOLA SANDOVAL IBAÑEZ,alcalde@soledad-atlantico.gov.co,Hoja 3
8770,Atlántico,Suan,KAROLAY CALVO RIVERA,despacho@suan-atlantico.gov.co,Hoja 3
8832,Atlántico,Tubará,NATKING COLL ALBA,alcaldia@tubara-atlantico.gov.co,Hoja 3
8849,Atlántico,Usiacurí,JULIO MARIO CALDERON PADILLA,contactenos@usiacuri-atlantico.gov.co,Hoja 3
11001,"Bogotá, D.C.","Bogotá, D.C.",CARLOS FERNANDO GALAN PACHON,,Hoja 3
13001,Bolívar,Cartagena,DUMEK JOSÉ TURBAY PAZ,alcalde@cartagena.gov.co,Hoja 3
13006,Bolívar,Achí,DAINER JOSÉ GUZMÁN CARE,alcaldia@achi-bolivar.gov.co,Hoja 3
13030,Bolívar,Altos del Rosario,JUAN CARLOS ROMO PÉREZ,contactenos@altosdelrosario-bolivar.gov.co,Hoja 3
13042,Bolívar,Arenal,RAMON ZAYAS FONSECA,alcaldia@arenal-bolivar.gov.co,Hoja 3
13052,Bolívar,Arjona,GUSTAVO ADOLFO PÉREZ GIRALDO,alcaldia@arjona-bolivar.gov.co,Hoja 3
13062,Bolívar,Arroyohondo,ZULEIVIS DEL CARMEN CORONEL CANTILLO,alcaldia@arroyohondo-bolivar.gov.co,Hoja 3
13074,Bolívar,Barranco de Loba,HENRIQUE BALLESTEROS PEINADO,alcaldia@barrancodeloba-bolivar.gov.co,Hoja 3
13140,Bolívar,Calamar,YELITZA EMPERATRIZ CASTELLAR RUIZ,alcaldia@calamar-bolivar.gov.co,Hoja 3
13160,Bolívar,Cantagallo,OMAR DEVANYS ESPARRAGOZA PONCE,contactenos@cantagallo-bolivar.gov.co,Hoja 3
13188,Bolívar,Cicuco,VLADIMIR STALIN GRANADOS HURTADO,alcaldia@cicuco-bolivar.gov.co,Hoja 3
13212,Bolívar,Córdoba,CARLOS ANDRÉS ÁLVAREZ TAMARA,contactenos@cordoba-bolivar.gov.co,Hoja 3
13222,Bolívar,Clemencia,MIGUEL SAMIR BARRIOS,alcaldia@clemencia-bolivar.gov.co,Hoja 3
13244,Bolívar,El Carmen de Bolívar,PEDRO JOSÉ VÁSQUEZ DIAZ,contactenos@elcarmen-bolivar.gov.co,Hoja 3
13248,Bolívar,El Guamo,JAVIER EDUARDO ANGULO ROMERO,contactenos@elguamo-bolivar.gov.co,Hoja 3
13268,Bolívar,El Peñón,LUIS ALBERTO CENTENO OLIVARES,contactenos@elpenon-bolivar.gov.co,Hoja 3
13300,Bolívar,Hatillo de Loba,ROBINSO FERNANDEZ ASTORGA,contactenos@hatillodeloba-bolivar.gov.co,Hoja 3
13430,Bolívar,Magangué,PEDRO MANUEL ALI ALI,alcaldia@magangue-bolivar.gov.co,Hoja 3
13433,Bolívar,Mahates,AGUSTIN TERCERO PALOMINO AGAMEZ,contactenos@mahates-bolivar.gov.co,Hoja 3
13440,Bolívar,Margarita,VALENTINA BELLO LOBO,alcaldia@margarita-bolivar.gov.co,Hoja 3
13442,Bolívar,María La Baja,RAMIRO GONZÁLEZ MANCILLA,alcaldia@marialabaja-bolivar.gov.co,Hoja 3
13458,Bolívar,Montecristo,LUIS CARLOS BALDOVINO CARO,alcaldia@montecristo-bolivar.gov.co,Hoja 3
13468,Bolívar,Mompós,JUAN NICOLAS SINNING CIODARO,alcaldia@santacruzdemompos-bolivar.gov.co,Hoja 3
13473,Bolívar,Morales,ECEQUIEL SALCEDO CARDOZO,contactenos@morales-bolivar.gov.co,Hoja 3
13549,Bolívar,Pinillos,CARLOS MARDONIO TOVAR QUEVEDO,alcaldia@pinillos-bolivar.gov.co,Hoja 3
13580,Bolívar,Regidor,CARLOS ALBERTO BARROS QUIÑONES,alcaldia@regidor-bolivar.gov.co,Hoja 3
13600,Bolívar,Río Viejo,,,
13620,Bolívar,San Cristóbal,RAFAEL ANTONIO RODRÍGUEZ MANOTAS,contactenos@sancristobal-bolivar.gov.co,Hoja 3
13647,Bolívar,San Estanislao,GENINSON DE JESÚS FERNANDEZ LÓPEZ,alcaldia@sanestanislao-bolivar.gov.co,Hoja 3
13650,Bolívar,San Fernando,ORLANDO FRANCISCO ORTIZ RANGEL,alcaldia@sanfernando-bolivar.gov.co,Hoja 3
13654,Bolívar,San Jacinto,MERLY MILETH VIANA PÉREZ,contactenos@sanjacinto-bolivar.gov.co,Hoja 3
13655,Bolívar,San Jacinto del Cauca,ONEI AURELIO HERNANDEZ RIVERA,alcaldia@sanjacintodelcauca-bolivar.gov.co,Hoja 3
13657,Bolívar,San Juan Nepomuceno,GUIDO JOSÉ FIGUEROA MARTINEZ,despachoalcalde@sanjuannepomuceno-bolivar.gov.co,Hoja 3
13667,Bolívar,San Martín de Loba,ADALBERTO COTES NIETO,contactenos@sanmartindeloba-bolivar.gov.co,Hoja 3
13670,Bolívar,San Pablo,JAIR ACEVEDO CAVADIA,contactenos@sanpablo-bolivar.gov.co,Hoja 3
13673,Bolívar,Santa Catalina,ARNALDO JOSÉ BELTRAN FONTALVO,contactenos@santacatalina-bolivar.gov.co,Hoja 3
13683,Bolívar,Santa Rosa,HARVIS BELLO ELLES,alcaldia@santarosadelnorte-bolivar.gov.co,Hoja 3
13688,Bolívar,Santa Rosa del Sur,MILTON ALEXIS OLAYA SANTAMARIA,contactenos@santarosadelsur-bolivar.gov.co,Hoja 3
13744,Bolívar,Simití,WILMAN ELI QUINTANA GONZÁLEZ,alcaldia@simiti-bolivar.gov.co,Hoja 3
13760,Bolívar,Soplaviento,ANGEL ANTONIO OROZCO VEGA,alcaldia@soplaviento-bolivar.gov.co,Hoja 3
13780,Bolívar,Talaigua Nuevo,JORGE ALONSO ARIAS ZULUAGA,alcaldia@talaiguanuevo-bolivar.gov.co,Hoja 3
13810,Bolívar,Tiquisio,NEIL ENRIQUE CANTILLO NUÑEZ,alcaldia@tiquisio-bolivar.gov.co,Hoja 3
13836,Bolívar,Turbaco,CLAUDIA ELENA ESPINOSA PUELLO,contactenos@turbaco-bolivar.gov.co,Hoja 3
13838,Bolívar,Turbaná,MAICOL ANDRÉS OLASCUAGA ARRIETA,contactenos@turbana-bolivar.gov.co,Hoja 3
13873,Bolívar,Villanueva,EURIPIDES ORLANDO VELASCO MENDOZA,alcaldia@villanueva-bolivar.gov.co,Hoja 3
13894,Bolívar,Zambrano,GABRIEL ALBERTO MURILLO ARGEL,alcaldia@zambrano-bolivar.gov.co,Hoja 3
15001,Boyacá,Tunja,MIKHAIL KRASNOV,atencionalciudadano@tunja.gov.co,Hoja 3
15022,Boyacá,Almeida,NANCY YANETH VACA GUTIÉRREZ,alcaldia@almeida-boyaca.gov.co,Hoja 3
15047,Boyacá,Aquitania,OSCAR DARÍO HURTADO PÉREZ,alcaldia@aquitania-boyaca.gov.co,Hoja 3
15051,Boyacá,Arcabuco,CARLOS DAVID ZARATE BÁEZ,alcaldia@arcabuco-boyaca.gov.co,Hoja 3
15087,Boyacá,Belén,CABETO PÉREZ DIAZ,despacho_alcalde@belen-boyaca.gov.co,Hoja 3
15090,Boyacá,Berbeo,SEBASTIÁN JUEZ ARIAS,alcaldia@berbeo-boyaca.gov.co,Hoja 3
15092,Boyacá,Betéitiva,RICARDO CRISTANCHO FERNÁNDEZ,alcaldia@beteitiva-boyaca.gov.co,Hoja 3
15097,Boyacá,Boavita,ALBERTO SANDOVAL VALCARCEL,alcaldia@boavita-boyaca.gov.co,Hoja 3
15104,Boyacá,Boyacá,RAFAEL ANTONIO SORA CAMARGO,contactenos@boyaca-boyaca.gov.co,Hoja 3
15106,Boyacá,Briceño,PEDRONEL VILLAMIL CASTRO,alcaldia@briceno-boyaca.gov.co,Hoja 3
15109,Boyacá,Buenavista,EDWIN HARVEY ESPITIA LARA,alcaldia@buenavista-boyaca.gov.co,Hoja 3
15114,Boyacá,Busbanzá,RODOLFO ANDRES TORRES AGUDELO,contactenos@busbanza-boyaca.gov.co,Hoja 3
15131,Boyacá,Caldas,DIEGO ALEJANDRO LANCHEROS RUIZ,caldas@caldas-boyaca.gov.co,Hoja 3
15135,Boyacá,Campohermoso,DARÍO MONTAÑEZ PEÑA,alcaldia@campohermoso-boyaca.gov.co,Hoja 3
15162,Boyacá,Cerinza,LUIS CARLOS CHÍA HERNÁNDEZ,alcaldia@cerinza-boyaca.gov.co,Hoja 3
15172,Boyacá,Chinavita,RAÚL ANTONIO CUBIDES RAMÍREZ,alcaldia@chinavita-boyaca.gov.co,Hoja 3
15176,Boyacá,Chiquinquirá,JEFFERSON LEONARDO CARO CASAS,despachoalcaldia@chiquinquira-boyaca.gov.co,Hoja 3
15180,Boyacá,Chiscas,REINALDO TORRES,alcaldia@chiscas-boyaca.gov.co,Hoja 3
15183,Boyacá,Chita,VLADIMIR RISCANEVO POBLADOR,alcaldia@chita-boyaca.gov.co,Hoja 3
15185,Boyacá,Chitaraque,CARLOS ALBERTO AMADOR RAMOS,alcaldia@chitaraque-boyaca.gov.co,Hoja 3
15187,Boyacá,Chivatá,YESID ALEXANDER BERNAL HERNÁNDEZ,alcaldia@chivata-boyaca.gov.co,Hoja 3
