codigo_dane,departamento,municipio,subregion,habitantes,temperatura_promedio,altura,gentilicio,bandera_jpg,alcalde,correo_alcalde,festival,fecha_inicio,fecha_fin,sitio_1,maps_1,sitio_2,maps_2,sitio_3,maps_3,hotel_1,wa_1,hotel_2,wa_2,hotel_3,wa_3
05313,Antioquia,Granada,ORIENTE,8747,25.3,336.0,,05313.jpg,DANIEL ANDRÉS HOYOS YEPES,alcalde@granada-antioquia.gov.co,,,,,,,,,,,,,,,
05315,Antioquia,Guadalupe,NORTE,4584,22.7,889.0,,05315.jpg,JOSÉ FERNANDO SALAZAR OSPINA,alcaldia@guadalupe-antioquia.gov.co,,,,,,,,,,,,,,,
05318,Antioquia,Guarne,ORIENTE,60921,14.6,2149.0,,05318.jpg,DIEGO MAURICIO GRISALES GALLEGO,alcaldia@guarne-antioquia.gov.co,,,,,,,,,,,,,,,
05321,Antioquia,Guatapé,ORIENTE,9121,16.7,1881.0,,05321.jpg,DAVID ESTEBAN FRANCO VALLEJO,alcaldia@guatape-antioquia.gov.co,,,,,,,,,,,,,,,
05347,Antioquia,Heliconia,OCCIDENTE,5650,17.7,1554.0,,05347.jpg,JORGE ALEXANDER ÁLVAREZ ARANGO,alcaldia@heliconia-antioquia.gov.co,,,,,,,,,,,,,,,
05353,Antioquia,Hispania,SUROESTE,5855,22.0,903.0,,05353.jpg,ORLANDO ARTURO MARÍN ATEHORTÚA,hacienda@hispania-antioquia.gov.co,,,,,,,,,,,,,,,
05360,Antioquia,Itagui,VALLE DEL ABURRA,303766,18.6,1538.0,,05360.jpg,DIEGO LEÓN TORRES SÁNCHEZ,contactenos@itagui.gov.co,,,,,,,,,,,,,,,
05361,Antioquia,Ituango,NORTE,29103,17.4,1623.0,,05361.jpg,JAVIER DE JESÚS PARIAS POSSO,alcaldia@ituango-antioquia.gov.co,,,,,,,,,,,,,,,
05364,Antioquia,Jardín,SUROESTE,15531,17.1,1844.0,,05364.jpg,CLAUDIA YANETH NARANJO AGUDELO,alcaldia@eljardin-antioquia.gov.co,,,,,,,,,,,,,,,
05368,Antioquia,Jericó,SUROESTE,3966,16.5,1828.0,,05368.jpg,SEBASTIÁN GARCES PIEDRAHITA,alcaldia@jerico-antioquia.gov.co,,,,,,,,,,,,,,,
05376,Antioquia,La Ceja,ORIENTE,71570,15.1,2153.0,,05376.jpg,MARÍA ILBED SANTA SANTA,alcaldia@laceja-antioquia.gov.co,,,,,,,,,,,,,,,
05380,Antioquia,La Estrella,VALLE DEL ABURRA,79103,15.9,1992.0,,05380.jpg,CARLOS MARIO GUTIERREZ ARRUBLA,alcalde@laestrella.gov.co,,,,,,,,,,,,,,,
05390,Antioquia,La Pintada,SUROESTE,8862,23.2,694.0,,05390.jpg,HERMAN ANTONIO CORREA BEDOYA,alcaldia@lapintada-antioquia.gov.co,,,,,,,,,,,,,,,
05400,Antioquia,La Unión,ORIENTE,13439,21.1,967.0,,05400.jpg,CARMEN JUDITH VALENCIA MORENO,alcaldia@launion-antioquia.gov.co,,,,,,,,,,,,,,,
05411,Antioquia,Liborina,OCCIDENTE,10567,16.4,2011.0,,05411.jpg,NANCY AMPARO AVENDAÑO MORENO,contactenos@liborina-antioquia.gov.co,,,,,,,,,,,,,,,
05425,Antioquia,Maceo,MAGDALENA MEDIO,8638,21.3,833.0,,05425.jpg,CAROLINA ANDREA SOSA GÓMEZ,alcaldia@maceo-antioquia.gov.co,,,,,,,,,,,,,,,
05440,Antioquia,Marinilla,ORIENTE,71117,15.3,2085.0,,05440.jpg,JULIO CESAR SERNA GÓMEZ,alcaldia@marinilla-antioquia.gov.co,,,,,,,,,,,,,,,
05467,Antioquia,Montebello,SUROESTE,6955,15.7,1983.0,,05467.jpg,OSCAR ERNESTO CUERVO VILLADA,alcaldia@montebello-antioquia.gov.co,,,,,,,,,,,,,,,
05475,Antioquia,Murindó,URABA,5483,24.8,36.0,,05475.jpg,EMPERATRIZ MENA PALACIO,alcaldia@murindo-antioquia.gov.co,,,,,,,,,,,,,,,
05480,Antioquia,Mutatá,URABA,15069,24.8,132.0,,05480.jpg,JAIRO ENRIQUE ORTIZ PALACIOS,alcaldia@mutata-antioquia.gov.co,,,,,,,,,,,,,,,
05483,Antioquia,Nariño,ORIENTE,2718,18.9,1366.0,,05483.jpg,ERIKA CARDONA PÉREZ,despachoalcalde@narino-antioquia.gov.co,,,,,,,,,,,,,,,
05490,Antioquia,Necoclí,URABA,46213,26.0,13.0,,05490.jpg,GUILLERMO JOSÉ CARDONA MORENO,contactenos@necocli-antioquia.gov.co,,,,,,,,,,,,,,,
05495,Antioquia,Nechí,BAJO CAUCA,28653,25.9,31.0,,05495.jpg,YUMARIS PATRICIA HENRÍQUEZ BANQUET,gobierno@nechi-antioquia.gov.co,,,,,,,,,,,,,,,
05501,Antioquia,Olaya,OCCIDENTE,3325,23.9,625.0,,05501.jpg,JESÚS DAVID HERNÁNDEZ LONDOÑO,alcaldia@olaya-antioquia.gov.co,,,,,,,,,,,,,,,
05541,Antioquia,Peñol,ORIENTE,,16.6,1881.0,,05541.jpg,SANDRA ARELIS DUQUE VELÁSQUEZ,alcaldia@elpenol-antioquia.gov.co,,,,,,,,,,,,,,,
05543,Antioquia,Peque,OCCIDENTE,8677,19.8,1204.0,,05543.jpg,ERMILSON DE JESÚS HERNÁNDEZ HERNÁNDEZ,gobierno@peque-antioquia.gov.co,,,,,,,,,,,,,,,
05576,Antioquia,Pueblorrico,SUROESTE,9148,16.0,1894.0,,05576.jpg,CRISTIAN CAMILO ZAPATA RAMÍREZ,alcaldia@pueblorrico-antioquia.gov.co,,,,,,,,,,,,,,,
05579,Antioquia,Puerto Berrío,MAGDALENA MEDIO,42638,25.8,110.0,,05579.jpg,ROBINSON ALBERTO BAENA ZULUAGA,alcaldia@puertoberrio-antioquia.gov.co,,,,,,,,,,,,,,,
05585,Antioquia,Puerto Nare,MAGDALENA MEDIO,15123,25.6,125.0,,05585.jpg,JUAN CARLOS ACEVEDO ÁLZATE,contactenos@puertonare-antioquia.gov.co,,,,,,,,,,,,,,,
05591,Antioquia,Puerto Triunfo,MAGDALENA MEDIO,19871,25.6,156.0,,05591.jpg,FRANKLIN PORTILLO GÓMEZ,alcaldia@puertotriunfo-antioquia.gov.co,,,,,,,,,,,,,,,
05604,Antioquia,Remedios,NORDESTE,31036,23.0,530.0,,05604.jpg,ALBEIRO ARENAS MOLINA,contactenos@remedios-antioquia.gov.co,,,,,,,,,,,,,,,
05607,Antioquia,Retiro,ORIENTE,25933,15.1,2166.0,,05607.jpg,SANTIAGO MONTOYA GIRALDO,alcaldia@elretiro-antioquia.gov.co,,,,,,,,,,,,,,,
05615,Antioquia,Rionegro,ORIENTE,27767,15.4,2090.0,,05615.jpg,JORGE HUMBERTO RIVAS URREA,alcaldia@rionegro.gov.co,,,,,,,,,,,,,,,
05628,Antioquia,Sabanalarga,OCCIDENTE,3646,26.2,97.0,,05628.jpg,CESAR ALONSO CUADROS GEORGE,contactenos@sabanalarga-antioquia.gov.co,,,,,,,,,,,,,,,
05631,Antioquia,Sabaneta,VALLE DEL ABURRA,92159,17.9,1592.0,,05631.jpg,ALDER JAMES CRUZ OCAMPO,alcaldia@sabaneta.gov.co,,,,,,,,,,,,,,,
05642,Antioquia,Salgar,SUROESTE,19124,20.4,1209.0,,05642.jpg,VÍCTOR RAÚL MAYA CEBALLOS,alcaldia@salgar-antioquia.gov.co,,,,,,,,,,,,,,,
05647,Antioquia,San Andrés de Cuerquía,NORTE,7625,17.0,1808.0,,05647.jpg,JOSÉ FERNANDO CHAVARRIA CHAVARRIA,alcaldia@sanandresdecuerquia-antioquia.gov.co,,,,,,,,,,,,,,,
05649,Antioquia,San Carlos,ORIENTE,16559,25.6,35.0,,05649.jpg,SANTIAGO DAZA ESPINOSA,alcaldia@sancarlos-antioquia.gov.co,,,,,,,,,,,,,,,
05652,Antioquia,San Francisco,ORIENTE,5797,15.3,1972.0,,05652.jpg,ARTURO ALEXANDER ARIAS DUQUE,alcaldia@sanfrancisco-antioquia.gov.co,,,,,,,,,,,,,,,
05656,Antioquia,San Jerónimo,OCCIDENTE,16778,23.2,728.0,,05656.jpg,DONALDO FERNAN VIVARES GALLEGO,alcaldia@sanjeronimo-antioquia.gov.co,,,,,,,,,,,,,,,
05658,Antioquia,San José de La Montaña,NORTE,3943,10.6,2931.0,,05658.jpg,JULIAN ANDRÉS GONZÁLEZ POSADA,contactenos@sanjosedelamontana-antioquia.gov.co,,,,,,,,,,,,,,,
05659,Antioquia,San Juan de Urabá,URABA,21945,25.5,46.0,,05659.jpg,JULIA ESPERANZA MEDRANO COA,contactenos@sanjuandeuraba-antioquia.gov.co,,,,,,,,,,,,,,,
05660,Antioquia,San Luis,ORIENTE,13550,24.7,538.0,,05660.jpg,CESAR ABAD BUITRAGO ARIAS,alcaldia@sanluis-antioquia.gov.co,,,,,,,,,,,,,,,
05664,Antioquia,San Pedro,NORTE,17545,25.9,144.0,,05664.jpg,,,,,,,,,,,,,,,,,
05665,Antioquia,San Pedro de Uraba,URABA,33667,24.7,141.0,,05665.jpg,NEVER JACINTO CARVAJAL MIRANDA,alcaldia@sanpedrodeuraba-antioquia.gov.co,,,,,,,,,,,,,,,
05667,Antioquia,San Rafael,ORIENTE,16404,18.7,1385.0,,05667.jpg,EDUIN ANICETO GIRALDO QUINTANA,alcaldia@sanrafael-antioquia.gov.co,,,,,,,,,,,,,,,
05670,Antioquia,San Roque,NORDESTE,22618,20.6,1033.0,,05670.jpg,LUIS ALEJANDRO VILLEGAS CANO,contactenos@sanroque-antioquia.gov.co,,,,,,,,,,,,,,,
05674,Antioquia,San Vicente,ORIENTE,23531,14.6,2140.0,,05674.jpg,NELSON DE JESÚS HENAO ZAPATA,alcaldia@sanvicente-antioquia.gov.co,,,,,,,,,,,,,,,
05679,Antioquia,Santa Bárbara,SUROESTE,2512,18.2,1507.0,,05679.jpg,JORGE MARIO QUINTANA CAÑAVERAL,contactenos@santabarbara-antioquia.gov.co,,,,,,,,,,,,,,,
05686,Antioquia,Santa Rosa de Osos,NORTE,39667,12.6,2586.0,,05686.jpg,LUIS BERNARDO MOLINA GRANDA,contacto@santarosadeosos.gov.co,,,,,,,,,,,,,,,
05690,Antioquia,Santo Domingo,NORDESTE,12907,15.4,1968.0,,05690.jpg,FABIO IGNACIO MIRA VALENCIA,contactenos@santodomingo-antioquia.gov.co,,,,,,,,,,,,,,,
05697,Antioquia,El Santuario,ORIENTE,38336,14.4,2156.0,,05697.jpg,MARTIN ALBERTO DUQUE GALLO,contactenos@elsantuario-antioquia.gov.co,Fiestas del Retorno,2026-12-26,,,,,,,,,,,,,
05736,Antioquia,Segovia,NORDESTE,41241,22.2,680.0,,05736.jpg,EDWIN ALEXANDER CASTAÑEDA VAHOS,alcaldia@segovia-antioquia.gov.co,,,,,,,,,,,,,,,
05756,Antioquia,Sonson,ORIENTE,38357,13.6,2493.0,,05756.jpg,JUAN DIEGO ZULUAGA PULGARIN,alcalde@sonson-antioquia.gov.co,,,,,,,,,,,,,,,
05761,Antioquia,Sopetrán,OCCIDENTE,16245,23.0,739.0,,05761.jpg,TATIANA ALEXANDRA CARBALLO HOYOS,alcaldia@sopetran-antioquia.gov.co,,,,,,,,,,,,,,,
05789,Antioquia,Támesis,SUROESTE,16967,17.2,1823.0,,05789.jpg,JUAN PABLO PÉREZ RAMÍREZ,alcaldia@tamesis-antioquia.gov.co,,,,,,,,,,,,,,,
05790,Antioquia,Tarazá,BAJO CAUCA,29319,24.5,275.0,,05790.jpg,YOMER FABIAN ÁLVAREZ CORREA,contactenos@taraza-antioquia.gov.co,,,,,,,,,,,,,,,
05792,Antioquia,Tarso,SUROESTE,6526,20.6,1155.0,,05792.jpg,HUGO ALEXANDER OCAMPO RIOS,gobierno@tarso-antioquia.gov.co,,,,,,,,,,,,,,,
05809,Antioquia,Titiribí,SUROESTE,11226,18.2,1540.0,,05809.jpg,ALEX DAVID RESTREPO SALAZAR,alcaldia@titiribi-antioquia.gov.co,,,,,,,,,,,,,,,
05819,Antioquia,Toledo,NORTE,5281,13.7,2092.0,,05819.jpg,JHONNY ALBERTO MARÍN MUÑETON,alcaldia@toledo-antioquia.gov.co,,,,,,,,,,,,,,,
05837,Antioquia,Turbo,URABA,136374,25.6,1.0,,05837.jpg,ALEJANDRO ABUCHAR GONZÁLEZ,alcalde@turbo-antioquia.gov.co,,,,,,,,,,,,,,,
05842,Antioquia,Uramita,OCCIDENTE,7225,21.5,880.0,,05842.jpg,LEONARDO ÚSUGA CORREA,alcaldia@uramita-antioquia.gov.co,,,,,,,,,,,,,,,
05847,Antioquia,Urrao,SUROESTE,32336,14.1,2173.0,,05847.jpg,NILSON JAVIER BARRERA HOLGUIN,alcalde@urrao-antioquia.gov.co,,,,,,,,,,,,,,,
05854,Antioquia,Valdivia,NORTE,14769,24.4,234.0,,05854.jpg,CARLOS DANOBER MOLINA BETANCUR,alcaldia@valdivia-antioquia.gov.co,,,,,,,,,,,,,,,
05856,Antioquia,Valparaíso,SUROESTE,6778,24.9,231.0,,05856.jpg,JOSÉ MARIO HERNÁNDEZ DEVIA,alcaldia@valparaiso-antioquia.gov.co,,,,,,,,,,,,,,,
05858,Antioquia,Vegachí,NORDESTE,12608,21.0,982.0,,05858.jpg,JOSÉ MARÍA OCHOA MUÑOZ,alcaldia@vegachi-antioquia.gov.co,,,,,,,,,,,,,,,
05861,Antioquia,Venecia,SUROESTE,4907,20.2,1308.0,,05861.jpg,FERNEY DARÍO FERNANDEZ,alcaldia@venecia-antioquia.gov.co,,,,,,,,,,,,,,,
05873,Antioquia,Vigía del Fuerte,URABA,9869,24.6,12.0,,05873.jpg,JHOSELIN LOZANO MENA,contactenos@vigiadelfuerte-antioquia.gov.co,,,,,,,,,,,,,,,
05885,Antioquia,Yalí,NORDESTE,8044,20.7,968.0,,05885.jpg,JHON JAIRO GIRALDO POSADA,alcaldia@yali-antioquia.gov.co,,,,,,,,,,,,,,,
05887,Antioquia,Yarumal,NORTE,44696,13.2,2424.0,,05887.jpg,CRISTIAN DAVID CESPEDES CORREA,alcaldia@yarumal.gov.co,,,,,,,,,,,,,,,
05890,Antioquia,Yolombó,NORDESTE,24617,19.0,1378.0,,05890.jpg,JESÚS AMADOR PÉREZ PALACIO,gobierno@yolombo-antioquia.gov.co,,,,,,,,,,,,,,,
05893,Antioquia,Yondó,MAGDALENA MEDIO,21065,25.9,72.0,,05893.jpg,YERSON ANTONIO ARIZA RIVERA,alcaldia@yondo-antioquia.gov.co,,,,,,,,,,,,,,,
05895,Antioquia,Zaragoza,BAJO CAUCA,26924,25.3,66.0,,05895.jpg,ANDRÉS EMILIO LUJAN MONROY,contactenos@zaragoza-antioquia.gov.co,,,,,,,,,,,,,,,
08001,,,,,,,,,,,Carnaval de Barranquilla,2026-02-14,,,,,,,,,,,,,
